city_name,latitude,longitude,total_pop
Brouwershaven,51.7264,3.91417,1426
Hollandsche Rading,52.175,5.17917,1424
Usquert,53.4028,6.61278,1415
Tzummarum,53.2375,5.54611,1414
Stad aan 't Haringvliet,51.7333,4.25,1399
Niekerk,53.2167,6.35,1395
Nieuwpoort,51.9333,4.86667,1394
Sumar,53.1933,6.015,1382
Woudsend,52.9428,5.6275,1380
Ternaard,53.3806,5.96389,1380
Nieuwerbrug,52.0817,4.79972,1370
Langezwaag,52.9831,6.00444,1365
Sint Jacobiparochie,53.2667,5.6,1365
Rottevalle,53.1453,6.10361,1363
Jirnsum,53.0781,5.79139,1360
Zwartebroek,52.1781,5.50583,1355
Benningbroek,52.7031,5.00972,1350
Abbenbroek,51.8486,4.24278,1349
Scharendijke,51.7347,3.84472,1347
Maasbommel,51.8208,5.53639,1343
Oudemirdum,52.8497,5.535,1330
Lippenhuizen,53.0169,6.09361,1330
Grijpskerke,51.5339,3.56167,1323
Roordahuizum,53.1175,5.78417,1320
Kronenberg,51.25,5.6,1312
Overmeer,52.2542,5.08389,1310
Surhuizum,53.2,6.18333,1302
Sintjohannesga,52.9317,5.85611,1280
Nijensleek,52.8397,6.17167,1254
's-Graveland,52.2442,5.12111,1250
Augustinusga,53.2167,6.16667,1233
Slootdorp,52.8422,4.97,1225
Wellerlooi,51.5333,6.13333,1219
Brandwijk,51.8833,4.81667,1213
Nieuwer-Ter-Aa,52.1911,4.98194,1210
Spijk,53.3897,6.83639,1205
Lieren,52.1622,5.98889,1203
Burgh,51.6886,3.72917,1200
Puiflijk,51.8833,5.58333,1200
Drachtstercompagnie,53.1333,6.13333,1185
Wageningen-Hoog,51.9889,5.69306,1180
Wieringerwaard,52.84,4.86778,1176
Burdaard,53.2936,5.87861,1173
Mantgum,53.1297,5.71972,1172
Nieuwdorp,51.4697,3.73861,1168
Hollum,53.4167,5.63333,1165
Tzum,53.1578,5.56444,1164
Wadenoijen,51.8736,5.37222,1150
Boelenslaan,53.1619,6.14472,1141
Zwaagdijk-Oost,52.7047,5.1325,1139
Heikant,51.2508,4.02472,1138
Anjum,53.3747,6.12722,1136
Lutjegast,53.2333,6.25778,1125
Vrouwenpolder,51.5761,3.61528,1121
Ovezande,51.4289,3.82194,1117
Jisp,52.5067,4.84889,1110
Langweer,52.9667,5.71667,1105
Baambrugge,52.2461,4.98861,1100
Broeksterwâld,53.2733,5.99639,1100
Ulicoten,51.4569,4.85694,1090
Molenaarsgraaf,51.8833,4.83333,1086
Twijzel,53.2333,6.1,1081
Wissenkerke,51.5844,3.74667,1078
Arum,53.1297,5.47528,1075
Bakhuizen,52.8683,5.45833,1075
Glimmen,53.1383,6.62861,1065
Oppenhuizen,53.0128,5.69528,1065
Stein,52.0,4.78333,1060
Ter Apelkanaal,52.9178,7.04083,1060
Wirdum,53.1497,5.80389,1060
Buurmalsen,51.8928,5.2925,1058
Nieuw-Namen,51.2931,4.16222,1057
Opijnen,51.8278,5.29833,1057
Kerkwerve,51.6853,3.89889,1056
Marsum,53.2119,5.728,1052
Eerde,51.6034,5.49756,1050
Steggerda,52.8567,6.07417,1049
Cruquius,52.3333,4.63333,1041
Makkinga,52.9833,6.21667,1040
Oranjestad,17.4833,-62.9833,1038
Echtenerbrug,52.8711,5.82111,1035
Zijtaart,51.5925,5.54167,1029
Terwispel,53.0189,6.0475,1020
Oost-Vlieland,53.2833,5.06667,1020
Oldeholtpade,52.8928,6.04944,1019
Midsland,53.3825,5.28583,1018
Frieschepalen,53.1081,6.205,1015
Noord Deurningen,52.3969,7.02528,1010
Wijster,52.8161,6.51667,1000
Nieuwland,51.9028,5.01333,1000
Nijland,53.0508,5.55556,1000
Gieterveen,53.0272,6.83778,995
Dreischor,51.6886,3.9825,994
Mariaheide,51.6339,5.58028,994
Vierpolders,51.8833,4.18333,993
Deinum,53.2,5.73333,990
Westbroek,52.15,5.13333,990
IJzendoorn,51.9064,5.53306,990
Amstelhoek,52.2311,4.835,988
Poederoijen,51.7856,5.08028,986
Ottoland,51.9,4.86667,985
Tuil,51.8228,5.23972,980
Noorden,52.1667,4.83333,975
Kantens,53.3656,6.63389,965
Rinsumageast,53.2967,5.9475,965
Hellouw,51.8275,5.17694,960
Holwierde,53.35,6.86667,960
Oostwold,53.2025,7.04444,960
Lemele,52.4522,6.41472,956
Graauw,51.3278,4.10222,956
Kwadendamme,51.4333,3.8775,952
Stavoren,52.8833,5.36667,950
Sint Laurens,51.5333,3.6,950
Oosternijkerk,53.3786,6.05361,944
Bentveld,52.3658,4.57167,940
Velsen-Zuid,52.46,4.65028,930
Neck,52.5083,4.9125,925
Jistrum,53.2114,6.06556,920
Wâlterswâld,53.3,6.03333,920
Varik,51.8233,5.36917,920
Biggekerke,51.4983,3.52528,919
Wartena,53.15,5.89722,915
Oosterzee,52.8744,5.77306,915
Lijnden,52.35,4.75,914
Bitgummole,53.235,5.70528,911
Britsum,53.25,5.78333,910
Metslawier,53.36,6.06778,908
Houtigehage,53.1539,6.14472,905
Sint Maarten,52.7667,4.75,900
Zuiddorpe,51.2342,3.90167,895
Giessen-Oudekerk,51.8436,4.86583,890
Lattrop,52.4278,6.97528,890
Woldendorp,53.2731,7.02944,885
Boijl,52.9097,6.19944,882
Spijk,51.855,5.00778,876
Hindeloopen,52.95,5.4,875
Beinsdorp,52.2833,4.58333,862
Roodeschool,53.4206,6.76361,860
Blije,53.3517,5.86111,860
De Weere,52.7228,4.99861,850
Gijbeland,51.8833,4.81667,850
Driezum,53.2958,6.04556,850
Goudriaan,51.9,4.9,847
Hurwenen,51.8106,5.31778,842
Waskemeer,53.05,6.28333,838
Appeltern,51.8333,5.58333,835
Oudehorne,52.9625,6.08056,835
Ee,53.33,6.1,834
Oudwoude,53.2833,6.11667,832
Scharsterbrug,52.9431,5.77972,830
Hoornsterzwaag,52.9983,6.1725,830
Lamswaarde,51.3425,4.05583,820
Tjalleberd,52.9978,5.94361,820
Gerkesklooster,53.2333,6.2,812
Siegerswoude,53.1,6.23333,810
De Blesse,52.8439,6.04028,802
Kwadijk,52.5275,4.98111,793
Bitgum,53.2367,5.6875,792
Zuidbuurt,52.1094,4.50528,780
Terhorne,53.0403,5.78083,780
Grolloo,52.9353,6.67111,778
Warder,52.5981,5.0275,770
Hemrik,53.0308,6.13806,770
Zonnemaire,51.7125,3.95083,768
Ryptsjerk,53.2231,5.91444,767
Oudesluis,52.8333,4.81667,760
Noordgouwe,51.6936,3.93861,759
Hensbroek,52.65,4.88333,758
Vriescheloo,53.0681,7.11389,755
Lutjewinkel,52.7689,4.88278,750
Tilligte,52.405,6.95139,742
Westerland,52.9,4.93333,730
Cabauw,51.9644,4.89833,730
