city_name,latitude,longitude,total_pop
Chorzelów,50.35,21.45,2728
Pustków Osiedle,50.115,21.5128,2727
Kurów,51.4,22.1833,2725
Wręczyca Wielka,50.8458,18.9211,2718
Grębocin,53.05,18.7167,2718
Kłodawa,52.7914,15.2158,2700
Tymbark,49.7272,20.3256,2700
Horyniec-Zdrój,50.1906,23.3619,2700
Janów Podlaski,52.1958,23.2106,2700
Skomielna Biała,49.65,19.9167,2700
Skarżysko Kościelne,51.1375,20.9142,2700
Łącko,49.5583,20.435,2700
Kamień,50.3236,22.1381,2700
Mokrzyska,50.0056,20.6214,2700
Osięciny,52.6333,18.7167,2700
Iwkowa,49.8167,20.5667,2699
Michałowice,52.17,20.8833,2699
Dankowice,49.9297,19.1103,2698
Jankowice,50.0014,18.9883,2697
Kiełpino,54.29,18.225,2693
Łąka,49.9667,18.9167,2690
Chwaszczyno,54.4436,18.4192,2678
Mierzęcice,50.4442,19.1286,2676
Milejów,51.2275,22.9272,2676
Majdan Królewski,50.3833,21.75,2671
Czyżew,52.7958,22.3292,2670
Białowieża,52.7,23.8667,2670
Chełmiec,49.6292,20.6672,2657
Międzyrzecze Górne,49.8417,18.94,2652
Boby-Księże,51.04,22.0369,2644
Święciechowa,51.85,16.5,2640
Wola Filipowska,50.1333,19.5833,2636
Wieszowa,50.4,18.7667,2630
Długołęka,51.1747,17.1953,2620
Milejów-Osada,51.2239,22.9289,2613
Piecki,53.7481,21.3411,2610
Młoszowa,50.15,19.5,2610
Łukowa,50.3794,22.9142,2603
Bielsk,52.6714,19.8047,2600
Skawica,49.6781,19.6278,2600
Białośliwie,53.1,17.1333,2600
Długie,49.5767,22.0456,2600
Zaboryszki,54.2333,23.1,2600
Tylmanowa,49.5167,20.4167,2600
Śliwice,53.7114,18.1772,2600
Zgłobice,49.9833,20.9167,2598
Brzostek,49.8822,21.4072,2597
Mszana Górna,49.6589,20.1042,2589
Moszczenica,51.5,19.7167,2571
Głuchowo,52.3467,16.77,2560
Koszyce Wielkie,49.98,20.9442,2560
Rybno,53.3667,19.9167,2558
Góra,49.9736,19.1094,2554
Żernica,50.2333,18.6,2549
Białka,49.6917,19.6694,2542
Osiedle-Nowiny,50.8169,20.55,2542
Ludwikowice Kłodzkie,50.6178,16.4783,2540
Koszarawa,49.6494,19.4036,2538
Koźmice Wielkie,49.9472,20.0347,2522
Osie,53.5983,18.3436,2520
Juszczyn,49.6944,19.6944,2511
Grzechynia,49.7169,19.66,2503
Tychowo,53.9303,16.2608,2500
Kościelna Wieś,51.7856,18.0094,2500
Laskowice,53.4858,18.4483,2500
Rzeszotary,49.9444,19.9775,2500
Gardeja,53.6072,18.9411,2500
Rzezawa,49.9833,20.5167,2500
Bodzanów,49.9833,20.15,2500
Bolesław,50.2983,19.4719,2500
Teresin,52.2017,20.4178,2500
Nienadowa,49.8319,22.4325,2500
Trzebież,53.6564,14.5083,2500
Brody,49.8658,19.6975,2500
Damasławek,52.8333,17.5167,2500
Poręba Spytkowska,49.9419,20.5478,2500
Gaszowice,50.1089,18.4308,2500
Kopytowa,49.6667,21.6167,2500
Łubiana,54.1,17.8667,2500
Siedliska,49.8667,21.0,2500
Żędowice,50.5667,18.5,2500
Duczki,52.3667,21.2833,2500
Owińska,52.5,16.9667,2500
Ołdrzychowice Kłodzkie,50.35,16.7333,2500
Postoliska,52.45,21.4667,2500
Rogi,49.6139,21.7589,2500
Gorzyce,49.9594,18.3981,2487
Wiśniowa Góra,51.7167,19.6333,2485
Czarna,50.0583,21.2467,2474
Krynki,53.2656,23.7722,2470
Szalowa,49.6822,21.0231,2468
Książenice,50.1539,18.5992,2466
Zaborze,50.0131,19.235,2464
Hażlach,49.804,18.6638,2460
Pruchna,49.8653,18.6825,2442
Waksmund,49.4833,20.0833,2439
Świniarsko,49.605,20.6533,2416
Szepietowo,52.8697,22.5464,2412
Tuszyma,50.2,21.5167,2405
Pietrowice Wielkie,50.0833,18.0833,2400
Wysoka,50.0447,22.2533,2400
Budzów,49.7778,19.6756,2400
Ścinawka Średnia,50.5167,16.4833,2400
Lipinki,49.6792,21.3,2400
Gorzów,50.0667,19.2333,2400
Kowale Oleckie,54.1631,22.4164,2400
Przytoczna,52.5667,15.6667,2400
Lubenia,49.9331,21.9214,2400
Złotniki Kujawskie,52.9,18.1333,2400
Doruchów,51.4167,18.0833,2400
Ćwiklice,49.9833,18.9833,2400
Pielgrzymowice,49.9064,18.6639,2395
Ujsoły,49.4667,19.1333,2392
Człopa,53.0833,16.1333,2390
Mordarka,49.6972,20.4631,2387
Maniowy,49.4597,20.2692,2380
Dobroszyce,51.2647,17.3392,2376
Pudliszki,51.7667,16.9333,2360
Jastkowice,50.6039,22.1067,2350
Herby,50.7528,18.8875,2350
Justynów,51.7206,19.6761,2349
Łaszczów,50.5333,23.7333,2341
Walim,50.6981,16.445,2340
Wolbórz,51.5008,19.8322,2339
Zbrosławice,50.4167,18.75,2338
Stegna,54.3264,19.1122,2337
Gościno,54.0536,15.6506,2332
Olsztyn,50.7519,19.2678,2331
Radwanice,51.0583,17.1039,2328
Pinczyn,53.9622,18.3464,2325
Rajbrot,49.8333,20.4833,2320
Hecznarowice,49.9,19.1667,2316
Żelistrzewo,54.6772,18.4194,2303
Rosnowo,54.0731,16.2925,2300
Paterek,53.1167,17.6167,2300
Połomia,49.99,18.5553,2300
Pruszcz,53.3294,18.1986,2300
Wydminy,53.9833,22.0333,2300
Bodaczów,50.7167,23.05,2300
Branice,50.0514,17.7947,2300
Dywity,53.85,20.4833,2300
Trzciana,50.0722,21.8372,2300
Ząb,49.3361,19.9475,2300
Lubiąż,51.2667,16.4833,2300
Zagórzany,49.6992,21.1572,2300
Niechanowo,52.4639,17.6803,2300
Padew Narodowa,50.4333,21.5,2300
Paniówki,50.2333,18.7667,2297
Przystajń,50.8842,18.6911,2283
Kaliska,53.905,18.2183,2268
Wola Baranowska,50.45,21.5667,2266
Stanowice,50.1306,18.6725,2254
Targowiska,49.6333,21.8333,2250
Kobylnica,54.4417,17.0003,2248
Godziszów,50.7525,22.485,2242
Ustronie Morskie,54.2167,15.75,2241
Gołąb,51.4869,21.8753,2227
Łukowica,49.6167,20.4833,2220
Wysoka Głogowska,50.1503,22.0164,2213
Mrzezino,54.6522,18.4169,2210
Nowa Wieś Wielka,52.9703,18.0914,2207
Godziszka,49.7131,19.0819,2207
Gniewczyna Łańcucka,50.1167,22.4833,2203
Baranowo,52.4378,16.7911,2202
Widełka,50.2,21.8833,2200
Zaniemyśl,52.15,17.1667,2200
Białka Tatrzańska,49.3947,20.105,2200
Stężyca,54.2053,17.9492,2200
Trzemeśnia,49.7333,19.9833,2200
Biała Niżna,49.6333,20.9833,2200
Białobrzegi,50.1014,22.3236,2200
Biedrusko,52.5333,16.9333,2200
Szaflary,49.4333,20.0333,2200
Lipka,53.4972,17.2508,2200
Jasień,49.9694,20.5708,2200
Krzątka,50.4,21.85,2200
Lachowice,49.7167,19.5,2200
Raniżów,50.2667,21.9833,2200
Sobolew,51.7397,21.6686,2200
Stanisławów,52.2833,21.55,2200
Stryszów,49.8333,19.6167,2200
Golcowa,49.7833,22.0333,2200
Lutcza,49.8033,21.9094,2200
Słubice,52.3689,19.9372,2200
Karsin,53.905,17.9283,2200
Mogilany,49.9383,19.8919,2200
Podwilk,49.55,19.7333,2200
Klecza Dolna,49.8708,19.5483,2188
Końskowola,51.4167,22.05,2188
Nowa Wieś Lęborska,54.5575,17.7269,2188
Tomice,49.9011,19.4858,2185
Harta,49.8667,22.2,2179
Bujaków,49.85,19.1833,2176
Łękawica,49.7,19.25,2169
Studzionka,49.9611,18.775,2150
Jaroszów,50.9881,16.4169,2150
Gromadka,51.36,15.7589,2150
Górno,50.25,22.1714,2142
Trąbki,51.95,21.6,2141
Witkowice,49.9139,19.2792,2136
Aleksandria,50.7333,18.95,2131
Piątek,52.0692,19.4806,2130
Lelów,50.6825,19.6253,2127
Drogomyśl,49.8693,18.7567,2121
Koczała,53.9022,17.0664,2111
Rimjhim the water park,52.1458,21.7356,2109
Lusówko,52.4333,16.65,2108
Filipowice,50.1536,19.5664,2104
Krzyżanowice,50.0,18.2667,2100
Kąkolewo,51.8675,16.6958,2100
Laski,52.3,20.85,2100
Raczki,53.9833,22.7833,2100
Radwanice,51.5667,15.9333,2100
Poręba Wielka,49.6106,20.0625,2100
Potulice,53.1167,17.6833,2100
Ochotnica Dolna,49.5333,20.3167,2100
Ochotnica Górna,49.5167,20.25,2100
Szczawa,49.6069,20.2975,2100
Brzezinka,50.0447,19.1814,2100
Czernica,50.0753,18.3997,2100
Walce,50.3719,18.0058,2100
Janowice Wielkie,50.8833,15.9167,2100
Adamów,51.75,22.25,2100
Duszniki,52.45,16.4,2100
Jasienica Rosielna,49.7519,21.9436,2100
Ustanów,52.0,21.0667,2100
Nowe Piekuty,52.8558,22.7089,2100
Dwikozy,50.7322,21.7864,2100
Naprawa,49.6633,19.8769,2100
Wola Krzysztoporska,51.3431,19.5775,2100
Chmielów,50.5167,21.6667,2100
Gnojnica,50.0333,21.65,2100
Godowa,49.8522,21.7986,2100
Ludźmierz,49.4694,19.9789,2100
Wiry,52.3225,16.8508,2100
Mirzec,51.1344,21.0564,2100
Niebieszczany,49.5067,22.1537,2100
Warlubie,53.5833,18.6167,2100
Stare Kurowo,52.85,15.65,2100
Wysoka Strzyżowska,49.8333,21.75,2099
Góra Puławska,51.4,21.9167,2098
